#{"t_start": 1775318454.5790184, "env_id": null}
r,l,t
1.059202,21,6345.750899
1.215025,21,6350.792783
-11.989356,21,6358.122561
-6.504375,21,6363.585541
-12.753609,21,6369.930234
-3.677408,21,6377.788933
-15.168509,21,6383.332696
-7.314826,21,6388.807146
-18.181775,21,6412.928829
-9.291544,21,6420.041905
-9.004375,21,6425.378538
-2.978188,21,6431.145189
-10.913319,21,6436.91791
-14.67593,21,6443.716785
-1.323257,21,6449.107717
-7.273751,21,6456.197993
-8.809412,21,6461.775347
-15.583531,21,6468.546841
-5.22795,21,6474.223331
-9.84235,41,6482.952127
-17.985627,21,6490.050459
-3.900858,21,6495.815833
-12.202307,21,6502.285439
-16.54607,21,6509.422401
1.219397,21,6515.23876
-18.286568,21,6523.256107
-7.732782,21,6528.928378
-4.277647,21,6534.651761
-6.689727,21,6540.515569
-16.831186,21,6547.372481
-5.261625,21,6553.494287
-13.635952,21,6573.382285
-12.275878,21,6580.670443
-11.673166,21,6586.106076
-1.558392,21,6592.880406
-5.745214,21,6598.202209
-0.692018,21,6604.161247
-11.917489,21,6609.655493
-0.706478,21,6615.530316
-16.386917,21,6622.027543
-14.017165,21,6630.338994
-15.729966,21,6637.104089
2.066064,21,6642.34385
3.678496,21,6648.500458
-12.521015,21,6655.351874
-8.347247,21,6663.25779
-25.6904,21,6671.442552
-9.765333,41,6679.349916
-4.88863,21,6684.848241
-16.362009,21,6691.537887
-18.897555,21,6698.608793
-6.552986,21,6704.454172
-10.69634,21,6712.303092
-12.925216,21,6719.025104
-2.811768,25,6737.46483
5.204977,41,6744.576723
-10.013129,21,6750.052874
0.352544,21,6755.296842
-2.885884,21,6761.28563
7.460041,21,6766.73774
-12.36971,21,6773.862153
-4.393811,21,6780.908614
-7.508357,21,6787.778448
-19.102818,21,6794.619586
-6.865335,25,6800.430502
-0.227041,21,6807.028006
-12.484022,21,6813.489648
7.290285,21,6818.803154
-9.139697,21,6826.798643
-14.231087,21,6833.095824
0.876145,21,6838.718619
-6.897953,21,6846.774292
2.8189,21,6851.770087
-1.879053,41,6861.458105
-14.619984,21,6868.169523
-0.404668,21,6874.091302
-4.021678,21,6880.285578
-19.884421,21,6906.116879
15.427899,41,6914.177806
-3.51707,21,6921.034447
-1.266945,21,6926.709384
-13.854912,21,6932.907367
-17.529424,21,6939.859921
-0.943034,21,6945.758364
-10.11213,21,6951.503761
-2.089999,21,6957.560275
-16.411341,21,6965.093539
1.954402,37,6970.064299
0.098873,21,6975.922994
-5.679422,21,6983.901257
-18.542309,21,6990.895402
-7.457933,21,6996.667169
-14.564648,21,7003.433816
-21.588395,21,7010.622375
6.102081,21,7015.952379
7.065498,41,7022.835275
-3.489159,41,7028.924946
1.157501,21,7049.466568
-18.282664,21,7056.483544
-2.39703,21,7061.976039
-14.895383,21,7069.459477
-7.77136,21,7074.826849
1.539119,21,7081.365693
